,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
563163,3700,19,98126,2019-04-03,571500,5232,1340,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
542094,3700,560,98126,2019-06-13,579000,5320,1180,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
540762,3700,125,98126,2019-06-19,633450,5320,2210,No Nuisances,0,0,0,0,0,None,1,0,1,0,0,0,0,0,0,0,0,4.0,1,0,0
510220,3700,540,98126,2019-09-16,430000,6650,1250,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,0
480849,3700,335,98126,2019-12-05,600000,7749,1740,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
249445,3700,635,98146,2019-11-14,720000,5320,1940,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,0,1
481435,4000,821,98168,2019-03-27,1175000,13802,2500,Traffic Noise,1,2,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,1,0
644425,4000,228,98168,2019-04-26,369000,6725,1560,Traffic Noise,1,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,0
457474,4000,236,98168,2019-07-09,194513,7663,2130,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
183374,4000,1071,98168,2019-10-02,499000,10246,2720,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,0
578269,4000,7,98168,2019-10-09,365950,8631,1130,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,0,1
114585,4000,1072,98168,2019-10-29,412000,15914,1800,Other Nuisances,1,0,0,1,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,1,1
600382,4000,615,98168,2019-11-26,607000,39186,1690,No Nuisances,0,0,0,0,0,None,1,0,1,0,0,0,0,0,0,0,0,4.0,0,0,0
485762,4000,566,98168,2019-12-04,500000,39260,1250,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,4.0,0,0,0
757630,4000,397,98168,2019-01-03,629950,7475,2930,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
759176,4000,399,98168,2019-01-11,623655,6508,2930,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,1,0,1
980586,4000,396,98168,2019-01-15,639950,10043,2930,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
167731,4000,398,98168,2019-03-07,647000,6508,2930,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
928515,4000,681,98168,2019-10-08,880000,11730,4470,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,1
177810,4100,460,98188,2019-01-11,450000,6000,1860,Other Nuisances,1,1,0,1,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,1
464829,4100,250,98188,2019-12-05,366000,10080,770,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0
5603,4200,48,98168,2019-11-26,422000,49608,790,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,0,0
438432,4200,66,98168,2019-12-09,421900,15680,1700,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,0,0,0
751435,4200,226,98188,2019-11-22,549000,9090,1600,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,1
165079,4200,146,98188,2019-02-25,949000,21786,5160,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,1,1,1
260427,4200,143,98188,2019-04-04,869000,15893,5160,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,1,1,1
865589,4300,224,98188,2019-02-15,522500,13950,2280,Traffic Noise,1,2,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,5.0,1,1,1
