,Major,Minor,PropType,SqFtLot,SalePrice,DocumentDate,NbrLivingUnits,SqFtTotLiving,Has_Porch,Nuisances,WaterFrontLocation,Is_WaterFrontLocation,Has_Nuisance
44,1150,1010,R,8053,990000,2019-04-19,1,2430,1,No Nuisances,None,0,0
45,1150,490,R,10072,1150000,2019-06-28,1,2500,0,No Nuisances,None,0,0
46,1150,30,R,12237,1220000,2019-07-23,1,2960,0,No Nuisances,None,0,0
47,1150,330,R,7873,950000,2019-08-26,1,2390,0,No Nuisances,None,0,0
48,1151,520,R,9002,1104000,2019-05-08,1,2720,1,No Nuisances,None,0,0
49,1152,200,R,13122,1199000,2019-07-31,1,3020,1,No Nuisances,None,0,0
50,1152,640,R,10450,1180000,2019-09-19,1,3010,1,No Nuisances,None,0,0
51,1190,20,R,4800,440000,2019-02-13,1,2280,1,No Nuisances,None,0,0
52,1190,70,R,5069,468000,2019-05-23,1,2380,1,No Nuisances,None,0,0
53,1190,240,R,7098,495000,2019-06-13,1,2410,1,Traffic Noise,None,0,1
54,1300,1935,R,5629,460000,2019-07-17,1,1400,0,No Nuisances,None,0,0
55,1300,2225,R,4600,310000,2019-11-26,1,700,0,No Nuisances,None,0,0
56,1600,90,R,6690,300000,2019-07-03,1,1060,0,No Nuisances,None,0,0
57,1600,540,R,5620,305000,2019-07-22,1,1050,0,No Nuisances,None,0,0
58,1600,566,R,4200,275000,2019-09-05,1,840,1,Traffic Noise,None,0,1
59,1600,76,R,5964,360000,2019-10-23,1,1650,0,Traffic Noise,None,0,1
60,1600,140,R,4405,345000,2019-10-25,1,900,0,No Nuisances,None,0,0
61,1600,580,R,4400,383000,2019-12-02,1,1950,0,Traffic Noise,None,0,1
62,1600,110,R,4439,289950,2019-12-06,1,1020,0,No Nuisances,None,0,0
63,1600,485,R,5667,374950,2019-12-17,1,1924,0,Traffic Noise,None,0,1
64,2350,450,R,9800,659000,2019-03-12,1,2470,0,No Nuisances,None,0,0
65,2350,190,R,11582,780000,2019-05-29,1,2470,0,No Nuisances,None,0,0
66,2350,150,R,8750,904990,2019-08-06,1,2080,0,No Nuisances,None,0,0
67,2352,520,R,9600,730000,2019-09-24,1,1780,0,No Nuisances,None,0,0
68,2352,780,R,10000,940000,2019-11-26,1,2800,1,No Nuisances,None,0,0
69,3100,205,R,9860,1045000,2019-06-21,1,1820,0,No Nuisances,None,0,0
70,3100,270,R,8736,1325000,2019-09-16,1,3060,0,No Nuisances,None,0,0
71,3100,235,R,8736,960000,2019-10-18,1,1640,1,No Nuisances,None,0,0
72,3400,1787,R,5775,699950,2019-03-07,1,1240,1,No Nuisances,None,0,0
73,3400,1010,R,4000,1479900,2019-03-08,1,3660,0,No Nuisances,None,0,0
74,3400,1005,R,4000,1380000,2019-06-06,1,3660,0,No Nuisances,None,0,0
75,3400,1860,R,4320,640000,2019-07-22,1,1640,0,Traffic Noise,None,0,1
76,3400,1190,R,12379,950000,2019-10-07,1,1490,0,No Nuisances,None,0,0
77,3400,1835,R,3574,1270000,2019-12-18,1,2670,0,No Nuisances,None,0,0
78,3700,581,R,5346,525000,2019-03-06,1,1110,0,No Nuisances,None,0,0
79,3700,19,R,5232,571500,2019-04-03,1,1340,0,No Nuisances,None,0,0
80,3700,560,R,5320,579000,2019-06-13,1,1180,0,No Nuisances,None,0,0
81,3700,125,R,5320,633450,2019-06-19,1,2210,1,No Nuisances,None,0,0
82,3700,540,R,6650,430000,2019-09-16,1,1250,0,No Nuisances,None,0,0
83,3700,635,R,5320,720000,2019-11-14,1,1940,1,No Nuisances,None,0,0
84,3700,335,R,7749,600000,2019-12-05,1,1740,0,No Nuisances,None,0,0
85,4000,397,R,7475,629950,2019-01-03,1,2930,1,No Nuisances,None,0,0
86,4000,399,R,6508,623655,2019-01-11,1,2930,0,No Nuisances,None,0,0
87,4000,396,R,10043,639950,2019-01-15,1,2930,1,No Nuisances,None,0,0
88,4000,398,R,6508,647000,2019-03-07,1,2930,1,No Nuisances,None,0,0
